49-51,31-50
67-76,76-76
82-93,70-89
49-96,29-77
3-14,7-15
9-24,24-44
10-82,9-59
91-92,82-92
4-61,3-73
42-43,43-67
63-78,64-64
8-8,9-94
54-55,54-64
12-35,18-96
12-55,53-53
3-85,23-85
26-93,32-93
9-23,3-9
49-82,48-48
61-84,61-83
35-37,36-91
6-78,4-4
73-80,4-76
8-77,8-94
18-22,20-22
75-84,76-76
51-91,24-90
24-94,3-88
17-17,18-59
1-93,55-97
15-75,5-75
7-11,11-47
3-85,3-4
14-86,13-15
13-93,33-95
4-6,3-3
33-56,33-89
42-42,43-84
46-77,76-77
57-60,36-60
23-24,24-53
87-94,88-97
1-83,1-52
22-41,20-27
12-86,85-87
53-87,50-56
8-51,8-50
27-71,10-71
7-62,8-63
17-28,27-97
1-90,90-90
3-94,2-4
3-98,2-24
11-12,12-83
18-37,19-36
9-98,9-90
4-98,3-99
82-82,53-82
5-54,6-88
75-91,91-91
20-98,19-98
2-48,10-62
16-42,41-42
61-71,59-71
3-92,3-4
12-47,12-69
23-26,26-65
20-57,67-97
65-95,64-65
1-92,3-88
5-83,5-89
44-81,80-82
30-32,31-84
10-51,50-50
25-52,16-25
37-45,38-44
46-47,47-62
59-85,84-85
13-86,12-87
29-76,4-30
79-93,12-80
61-86,61-68
13-85,15-85
33-35,34-94
68-69,33-71
55-90,55-82
20-94,23-94
82-98,6-83
26-78,26-79
14-16,14-15
6-47,46-49
4-98,1-97
17-76,37-65
13-71,13-59
24-67,14-58
13-47,48-92
37-38,37-60
30-90,30-71
62-74,33-86
39-40,26-40
6-81,5-16
10-70,10-10
4-84,83-92
87-89,68-87
47-95,16-84
23-86,29-86
30-98,30-62
28-85,29-83
87-98,56-97
91-92,12-92
89-99,67-90
52-99,29-97
5-92,3-16
3-74,2-84
54-83,55-55
1-39,39-94
1-98,97-98
20-98,7-17
27-47,10-27
3-4,3-64
86-87,4-86
12-68,21-47
78-79,37-79
23-48,8-36
5-88,4-82
10-96,9-96
1-99,2-99
57-77,56-56
66-85,65-68
73-87,87-90
13-96,12-89
15-90,60-66
75-75,12-75
15-86,85-91
26-67,25-44
15-86,16-87
23-58,43-69
2-86,16-87
18-78,9-19
92-94,13-93
8-46,2-45
39-60,39-50
76-85,75-77
52-63,36-63
4-66,3-4
51-70,70-89
4-7,7-97
38-93,38-84
2-9,9-96
14-19,18-20
3-79,2-37
25-84,83-96
21-36,22-65
41-82,42-96
2-77,38-78
84-88,59-97
3-70,4-71
53-93,17-93
94-95,2-99
71-88,9-70
12-41,13-41
12-54,11-53
72-73,73-78
4-81,18-33
23-52,10-94
23-91,5-57
45-45,43-45
48-83,47-47
12-96,11-11
68-81,72-93
14-92,8-14
84-99,28-97
21-81,22-82
12-37,11-32
40-45,39-39
23-34,25-27
23-23,24-65
77-85,85-98
91-98,91-96
88-90,11-89
5-5,6-98
23-28,4-13
20-58,19-58
3-96,4-94
16-22,8-19
78-79,78-84
67-80,62-68
80-94,79-97
12-79,78-79
29-50,29-51
2-41,41-42
68-69,17-68
38-39,2-39
13-14,14-78
9-80,8-9
42-92,64-93
67-78,66-73
14-65,14-15
6-59,1-35
16-17,17-48
15-28,16-33
2-9,48-91
3-4,4-86
28-45,50-56
15-23,16-86
50-79,50-78
9-62,8-8
4-91,4-12
24-25,25-65
38-39,38-61
8-8,18-76
56-86,1-56
13-68,68-74
15-42,26-42
40-45,40-61
92-99,4-93
20-35,25-32
15-28,15-69
26-94,8-94
16-94,3-96
16-98,16-21
17-17,18-23
26-30,26-27
33-49,31-34
13-99,85-90
12-74,6-74
54-60,53-57
10-94,11-95
37-53,37-38
2-79,2-48
46-55,53-60
7-95,7-8
7-83,8-98
6-7,7-32
47-82,46-47
63-85,64-87
77-78,57-77
3-5,3-4
5-98,97-99
59-92,2-92
4-97,1-99
37-86,2-86
46-47,9-47
38-86,37-38
24-48,52-71
14-85,85-86
20-83,20-21
49-83,50-70
44-63,45-88
43-70,3-43
34-76,2-75
1-72,73-84
49-89,45-89
45-85,13-45
29-98,28-30
7-8,7-58
20-20,21-41
52-63,18-52
81-95,76-81
3-95,2-95
74-84,68-75
51-63,51-64
19-72,40-72
53-57,4-80
21-88,19-87
29-93,30-99
4-98,7-98
20-62,49-63
5-71,5-70
35-83,35-66
12-71,35-78
7-59,7-95
7-62,7-70
2-9,9-97
5-11,8-12
6-17,18-20
5-87,3-3
83-92,5-92
12-95,12-54
37-83,23-83
39-48,40-53
14-95,51-95
37-98,70-80
16-90,19-91
2-27,16-46
3-87,6-17
49-49,49-79
7-30,35-71
21-40,22-29
77-87,76-78
11-68,23-69
18-19,18-80
21-79,13-21
9-89,8-90
4-85,7-89
36-44,18-36
1-21,2-44
1-98,2-99
56-57,3-56
23-24,23-81
22-25,10-24
6-94,93-99
13-37,12-14
13-29,30-86
65-88,66-90
90-92,6-91
42-43,43-67
27-33,28-31
31-90,37-90
5-97,2-3
25-55,1-26
90-91,10-90
35-52,36-53
41-42,41-41
7-75,18-75
8-69,2-82
56-96,11-96
13-79,12-78
5-11,11-94
18-18,17-72
4-94,1-93
32-38,33-71
3-5,4-98

