y=881, x=559..579
x=516, y=1155..1166
y=1026, x=535..547
x=472, y=288..299
x=540, y=580..589
x=567, y=913..918
x=489, y=7..15
y=859, x=553..555
x=543, y=46..60
x=558, y=205..217
x=587, y=1648..1654
x=537, y=1644..1659
x=559, y=869..881
y=91, x=529..532
x=603, y=743..751
x=500, y=917..930
x=559, y=366..386
x=580, y=412..439
x=523, y=1158..1160
x=498, y=1233..1244
x=476, y=1313..1320
x=555, y=266..277
x=506, y=602..623
x=516, y=1504..1516
y=1087, x=471..479
y=419, x=599..604
x=599, y=776..782
x=586, y=583..584
x=556, y=406..418
y=281, x=579..602
y=170, x=572..585
x=514, y=286..294
x=516, y=1643..1659
x=561, y=965..977
x=596, y=477..485
y=1659, x=550..569
y=646, x=539..543
x=596, y=109..135
y=1494, x=531..533
x=496, y=214..217
y=968, x=580..587
x=508, y=573..583
x=589, y=103..105
x=534, y=168..182
x=492, y=856..860
y=1023, x=528..530
x=491, y=265..279
x=610, y=354..367
x=538, y=117..119
x=587, y=1359..1363
x=582, y=1384..1407
y=457, x=524..543
x=479, y=151..154
x=473, y=1673..1699
y=533, x=584..587
x=598, y=14..20
x=556, y=188..198
x=519, y=618..624
x=484, y=308..319
y=996, x=553..556
y=621, x=568..582
x=530, y=110..121
x=533, y=185..193
y=138, x=515..531
x=519, y=556..564
x=579, y=269..281
x=475, y=1639..1667
x=525, y=1357..1366
y=1668, x=496..509
x=478, y=993..995
x=489, y=1277..1288
x=597, y=1235..1259
x=543, y=1270..1284
y=1470, x=499..513
x=571, y=1775..1788
y=1320, x=476..489
x=473, y=764..783
x=573, y=1202..1230
x=560, y=1544..1548
y=796, x=582..585
x=607, y=292..310
x=532, y=1154..1166
y=1411, x=570..573
x=524, y=288..298
y=194, x=577..584
y=528, x=512..516
x=549, y=348..357
x=577, y=1634..1657
x=496, y=1595..1623
x=542, y=1377..1389
x=548, y=769..781
x=610, y=1668..1681
x=472, y=87..113
x=579, y=1170..1194
x=545, y=224..234
x=494, y=579..583
y=96, x=520..539
x=604, y=398..419
y=921, x=540..543
y=1212, x=532..540
x=514, y=1423..1432
x=527, y=814..823
x=501, y=1518..1521
x=497, y=972..983
x=587, y=451..467
x=535, y=818..820
x=517, y=556..564
y=1699, x=473..498
y=450, x=488..503
x=606, y=743..751
x=503, y=1270..1296
y=382, x=485..503
y=1198, x=547..552
x=610, y=83..100
x=498, y=1674..1699
x=571, y=1006..1020
y=634, x=569..580
x=544, y=472..474
y=1676, x=562..580
y=159, x=527..552
y=69, x=581..585
x=476, y=1276..1288
y=1682, x=531..534
y=1638, x=483..567
y=1548, x=560..562
y=21, x=483..501
x=601, y=854..875
x=585, y=682..705
x=599, y=86..94
x=540, y=919..921
x=533, y=1708..1718
x=598, y=1532..1558
x=569, y=138..155
y=1038, x=559..562
x=491, y=1381..1403
x=532, y=1374..1385
x=549, y=397..407
y=1277, x=548..556
x=478, y=664..686
y=1161, x=568..576
x=516, y=91..102
x=508, y=1038..1065
x=594, y=84..100
y=650, x=534..550
y=1351, x=476..479
x=549, y=812..822
x=513, y=1462..1470
y=72, x=564..592
x=552, y=1531..1557
y=458, x=603..605
y=530, x=529..531
x=489, y=836..839
x=528, y=1018..1023
x=479, y=450..475
x=539, y=951..960
y=826, x=572..596
x=573, y=1169..1194
x=556, y=1277..1280
x=576, y=1463..1470
x=476, y=1604..1615
x=514, y=701..708
y=1759, x=541..543
y=1520, x=530..541
y=1360, x=557..561
x=502, y=387..399
x=578, y=1783..1801
y=1805, x=586..592
x=523, y=523..533
y=1435, x=487..493
x=534, y=1319..1322
y=1603, x=503..529
x=544, y=1706..1715
y=1288, x=476..489
y=1036, x=472..481
x=610, y=321..328
x=557, y=791..804
x=520, y=114..117
x=523, y=683..693
x=553, y=1074..1076
y=1144, x=471..495
y=1116, x=485..490
y=407, x=542..549
x=593, y=1244..1267
y=586, x=526..528
y=537, x=575..595
y=1810, x=581..604
y=299, x=472..491
x=490, y=249..259
x=516, y=516..528
y=544, x=539..541
x=531, y=185..193
x=553, y=1316..1323
y=902, x=545..572
y=750, x=551..560
x=507, y=656..674
x=527, y=1282..1293
x=509, y=1663..1668
y=121, x=509..530
x=482, y=1097..1119
y=995, x=476..478
y=1788, x=554..571
y=671, x=511..513
x=601, y=710..720
y=663, x=497..500
y=198, x=556..570
y=693, x=523..539
y=1623, x=496..498
x=556, y=617..630
y=801, x=561..565
x=483, y=1627..1638
x=490, y=1201..1221
x=483, y=662..664
x=601, y=903..915
x=481, y=1710..1736
x=602, y=622..626
x=570, y=187..198
x=562, y=1544..1548
y=1385, x=532..535
x=568, y=1584..1595
x=535, y=1015..1026
x=499, y=244..255
x=507, y=1269..1296
x=493, y=90..102
x=529, y=792..803
x=564, y=37..40
x=491, y=1340..1363
y=1598, x=559..576
x=558, y=1818..1827
y=417, x=470..539
x=556, y=436..443
y=655, x=579..582
x=507, y=1423..1432
x=558, y=1111..1123
x=503, y=435..450
x=532, y=423..431
x=486, y=1027..1050
y=1043, x=581..606
y=781, x=518..548
y=293, x=536..542
y=174, x=546..555
y=747, x=564..588
y=81, x=487..503
x=524, y=1091..1101
y=1244, x=494..498
x=520, y=187..198
x=601, y=1420..1433
x=552, y=1053..1063
x=611, y=1236..1259
x=488, y=1202..1221
y=630, x=536..556
y=1171, x=475..485
x=541, y=1747..1759
x=481, y=825..842
y=999, x=546..562
x=608, y=1616..1621
x=541, y=1516..1520
x=559, y=893..895
x=605, y=1375..1384
y=1228, x=471..493
y=1805, x=560..563
x=482, y=1795..1806
y=1425, x=472..483
x=504, y=1037..1065
x=575, y=1503..1525
x=564, y=1015..1017
x=574, y=731..741
x=597, y=853..875
x=560, y=1070..1080
x=528, y=841..846
x=485, y=1169..1171
y=1169, x=555..560
x=562, y=989..999
x=531, y=528..530
x=548, y=17..26
x=525, y=661..673
x=598, y=1766..1768
y=589, x=515..540
x=520, y=1215..1226
x=533, y=1292..1304
y=1827, x=537..558
x=546, y=1092..1101
x=530, y=338..342
y=823, x=527..542
y=1296, x=503..507
y=179, x=539..562
x=549, y=869..878
x=520, y=1281..1293
x=589, y=1059..1061
x=543, y=448..457
y=1172, x=603..611
x=548, y=664..685
x=590, y=907..912
x=583, y=1648..1654
x=563, y=485..495
x=550, y=1709..1718
x=497, y=663..669
x=607, y=386..400
x=541, y=544..547
y=1499, x=525..542
x=470, y=1639..1667
x=578, y=904..915
x=603, y=206..227
x=559, y=1587..1598
x=553, y=848..859
x=503, y=370..382
y=608, x=522..542
y=1807, x=586..592
y=731, x=574..580
x=506, y=875..884
x=541, y=425..437
y=994, x=553..556
x=563, y=1509..1514
y=702, x=592..594
x=526, y=388..399
x=550, y=436..443
x=493, y=1504..1509
x=529, y=681..690
x=470, y=1339..1363
y=58, x=487..493
y=1293, x=520..527
y=1259, x=597..611
x=562, y=851..863
x=488, y=435..450
y=259, x=490..492
x=547, y=1173..1198
x=518, y=1609..1616
x=565, y=774..801
y=1697, x=550..591
x=536, y=833..850
y=850, x=519..536
x=542, y=379..382
y=40, x=564..569
x=472, y=228..240
x=531, y=1682..1686
x=592, y=1805..1807
x=566, y=1386..1388
y=1475, x=517..534
x=559, y=1462..1470
y=1166, x=516..532
x=574, y=1782..1801
y=60, x=520..522
y=1473, x=593..607
x=520, y=652..654
x=537, y=47..60
x=527, y=944..971
x=560, y=1772..1785
x=590, y=206..227
y=359, x=487..514
y=1304, x=533..571
x=472, y=1023..1036
x=611, y=815..841
y=26, x=548..573
x=595, y=1357..1366
x=522, y=60..62
y=210, x=488..494
x=539, y=166..179
y=1363, x=470..491
x=576, y=1606..1617
y=214, x=550..552
x=527, y=337..342
y=453, x=534..537
y=252, x=601..603
x=606, y=1319..1344
x=497, y=1252..1263
x=479, y=1342..1351
y=551, x=525..547
y=255, x=499..540
x=529, y=1174..1184
x=505, y=825..842
x=505, y=1715..1719
y=467, x=587..612
x=537, y=1095..1098
x=501, y=52..61
x=489, y=1380..1403
x=547, y=1133..1143
y=1061, x=589..609
x=577, y=182..194
y=1205, x=494..518
y=1322, x=526..534
y=1147, x=511..513
y=1267, x=589..593
y=1156, x=588..590
x=562, y=1028..1038
x=551, y=1821..1824
x=572, y=1052..1063
x=531, y=132..138
y=1557, x=513..523
x=557, y=549..572
y=1065, x=540..546
x=529, y=87..91
y=1460, x=481..483
x=556, y=509..511
x=556, y=950..960
y=685, x=548..562
x=561, y=1015..1017
x=540, y=1257..1259
y=626, x=602..604
y=1046, x=544..547
x=585, y=907..912
x=603, y=1375..1384
x=491, y=287..299
x=604, y=816..841
y=1454, x=506..524
x=535, y=1749..1763
y=1742, x=532..552
x=569, y=1509..1514
y=1020, x=556..571
x=487, y=56..58
x=519, y=834..850
x=569, y=1650..1659
x=559, y=1028..1038
y=1272, x=568..570
x=571, y=775..782
x=602, y=931..955
y=439, x=580..585
x=531, y=875..884
x=517, y=1461..1475
y=399, x=555..563
y=795, x=542..551
y=400, x=607..610
x=591, y=1684..1697
y=49, x=555..561
y=1579, x=491..559
x=473, y=1244..1267
x=526, y=584..586
x=534, y=638..650
y=1738, x=591..594
x=576, y=1586..1598
y=1615, x=471..476
x=576, y=275..281
x=540, y=305..315
x=588, y=639..645
y=474, x=541..544
x=546, y=850..863
x=478, y=837..852
x=485, y=1731..1733
y=983, x=497..507
y=1514, x=563..569
x=515, y=579..589
x=513, y=1145..1147
x=471, y=1604..1615
y=1560, x=502..547
y=296, x=477..484
x=546, y=169..174
x=472, y=152..154
x=584, y=527..533
x=496, y=174..194
x=550, y=1649..1659
x=474, y=1505..1509
x=539, y=188..198
x=539, y=635..646
x=566, y=549..572
y=240, x=472..491
x=564, y=1185..1205
x=603, y=1617..1621
x=499, y=1775..1790
x=578, y=1383..1407
x=531, y=681..690
y=708, x=514..516
x=588, y=728..747
y=281, x=560..576
x=606, y=109..135
x=539, y=68..96
x=548, y=948..955
x=512, y=1632..1634
x=488, y=205..210
x=563, y=1794..1805
y=1325, x=521..540
x=594, y=1490..1509
y=154, x=472..479
x=511, y=1213..1223
x=585, y=149..170
x=514, y=1213..1223
x=576, y=559..582
x=479, y=1068..1087
y=915, x=578..601
y=43, x=494..511
x=504, y=1216..1226
x=508, y=1233..1243
y=700, x=592..594
x=505, y=289..298
x=491, y=1567..1579
x=580, y=1666..1676
y=839, x=489..499
x=498, y=1177..1182
y=605, x=528..536
x=487, y=578..583
x=473, y=837..852
y=518, x=579..591
y=674, x=492..507
x=561, y=1387..1388
y=960, x=539..556
x=548, y=931..940
x=601, y=248..252
x=561, y=43..49
x=601, y=1721..1742
y=720, x=586..601
x=571, y=560..582
x=552, y=1796..1808
y=734, x=513..534
y=564, x=580..598
x=503, y=574..583
x=576, y=967..980
x=502, y=1796..1806
y=930, x=493..500
x=552, y=149..159
y=15, x=489..495
y=1076, x=546..553
y=382, x=519..542
x=483, y=505..525
x=482, y=708..734
x=549, y=1821..1824
x=537, y=152..155
x=534, y=1462..1475
y=803, x=510..529
x=590, y=1154..1156
x=592, y=582..584
x=539, y=1071..1080
x=547, y=541..551
y=1319, x=526..534
x=516, y=1440..1450
y=1194, x=573..579
y=1223, x=511..514
x=552, y=1729..1742
y=977, x=561..569
x=524, y=1715..1719
x=534, y=1682..1686
x=576, y=1134..1161
y=1719, x=505..524
y=940, x=542..548
x=591, y=276..278
x=497, y=1552..1560
y=1450, x=516..518
x=585, y=64..69
x=498, y=745..759
y=311, x=531..534
y=357, x=549..569
y=1555, x=513..523
y=895, x=559..562
x=525, y=1376..1389
x=568, y=607..621
x=504, y=638..642
x=560, y=834..843
x=492, y=1730..1733
x=514, y=1526..1537
y=1182, x=489..498
y=1715, x=542..544
x=520, y=1257..1259
x=489, y=1313..1320
x=562, y=302..317
y=1690, x=518..541
x=523, y=703..713
y=623, x=497..506
x=592, y=358..378
y=1616, x=505..518
y=155, x=562..569
x=524, y=1134..1143
y=343, x=475..497
x=569, y=348..357
x=594, y=700..702
y=1432, x=507..514
x=537, y=445..453
x=524, y=426..437
x=535, y=1374..1385
y=119, x=533..538
y=1808, x=552..569
x=555, y=1150..1169
x=484, y=285..296
y=1199, x=500..507
x=560, y=1050..1060
x=489, y=474..479
x=540, y=870..878
x=579, y=1108..1132
x=495, y=368..378
x=568, y=1256..1272
x=585, y=1490..1509
x=553, y=994..996
x=520, y=60..62
y=102, x=493..516
x=560, y=736..750
y=1345, x=512..580
y=656, x=585..611
y=1618, x=524..545
x=552, y=242..251
x=555, y=169..174
x=581, y=64..69
x=505, y=1507..1519
y=751, x=603..606
x=539, y=1727..1739
y=842, x=481..505
x=576, y=15..20
x=540, y=1095..1098
x=602, y=268..281
y=1801, x=574..578
x=483, y=1436..1460
y=60, x=537..543
x=556, y=232..239
y=690, x=529..531
x=505, y=1609..1616
x=524, y=1612..1618
x=603, y=1158..1172
x=594, y=639..645
y=1016, x=498..525
x=519, y=943..971
y=1063, x=552..572
x=501, y=938..953
y=705, x=585..603
x=505, y=559..568
y=1806, x=482..502
x=599, y=397..419
y=1785, x=560..564
y=1267, x=473..484
x=507, y=937..953
x=487, y=348..359
x=483, y=1416..1425
x=516, y=701..708
x=598, y=552..564
y=783, x=473..501
y=399, x=502..526
y=367, x=602..610
y=1681, x=594..610
x=529, y=528..530
x=575, y=525..537
y=93, x=554..566
x=586, y=1753..1771
x=503, y=1356..1366
y=248, x=601..603
x=501, y=527..532
x=580, y=967..968
y=673, x=525..540
x=509, y=110..121
x=525, y=1486..1499
x=572, y=888..902
x=496, y=1662..1668
y=582, x=571..576
y=1017, x=561..564
x=492, y=368..378
y=105, x=542..554
x=582, y=792..796
x=476, y=993..995
y=80, x=552..560
x=586, y=1805..1807
x=511, y=30..43
x=582, y=650..655
y=1666, x=479..486
y=1509, x=474..493
y=528, x=529..531
x=523, y=114..117
x=522, y=596..608
x=530, y=911..924
x=511, y=1145..1147
x=569, y=38..40
x=536, y=618..630
x=559, y=1567..1579
x=474, y=1711..1736
y=105, x=562..589
y=94, x=599..603
x=482, y=379..400
x=547, y=1033..1046
y=315, x=516..540
x=541, y=472..474
x=541, y=1676..1690
x=550, y=1685..1697
x=582, y=846..851
x=570, y=1603..1612
x=596, y=1147..1162
x=540, y=1063..1065
y=485, x=596..605
x=546, y=1074..1076
x=540, y=1314..1325
y=1280, x=548..556
x=563, y=1270..1284
x=541, y=1233..1243
y=198, x=520..539
y=1407, x=578..582
y=1718, x=533..550
x=498, y=1595..1623
x=528, y=584..586
y=511, x=554..556
y=547, x=539..541
y=1184, x=507..529
x=542, y=397..407
x=531, y=309..311
y=310, x=593..607
y=584, x=586..592
x=530, y=1017..1023
x=585, y=649..656
x=518, y=471..490
y=846, x=525..528
x=486, y=661..664
x=598, y=357..378
y=945, x=484..498
y=953, x=501..507
x=602, y=354..367
y=1143, x=524..547
x=581, y=1791..1810
x=491, y=709..734
x=580, y=1294..1319
x=586, y=711..720
x=571, y=1292..1304
x=566, y=87..93
x=539, y=206..217
x=484, y=934..945
x=554, y=102..105
x=562, y=914..918
x=501, y=10..21
x=562, y=166..179
x=554, y=406..418
x=521, y=1315..1325
x=560, y=276..281
x=534, y=724..734
x=496, y=269..271
x=556, y=1184..1205
x=534, y=309..311
x=562, y=663..685
x=562, y=893..895
x=554, y=1750..1763
x=494, y=1194..1205
x=497, y=330..343
x=542, y=931..940
x=470, y=407..417
x=552, y=912..924
y=774, x=493..495
y=912, x=585..590
x=485, y=371..382
y=799, x=542..551
x=554, y=1030..1041
x=493, y=474..479
x=494, y=1233..1244
x=539, y=684..693
y=61, x=479..501
x=532, y=503..514
y=843, x=539..560
y=1226, x=504..520
y=1525, x=548..575
y=1123, x=534..558
y=1516, x=516..519
x=572, y=1031..1041
x=535, y=465..477
y=1344, x=592..606
x=542, y=282..293
y=587, x=595..604
x=560, y=1794..1805
y=1537, x=514..539
x=548, y=1502..1525
x=513, y=724..734
y=572, x=557..566
x=513, y=666..671
x=579, y=492..518
x=587, y=966..968
x=497, y=129..141
x=503, y=1596..1603
x=532, y=1730..1742
x=570, y=1584..1595
x=473, y=174..194
y=1384, x=603..605
y=1612, x=563..570
y=1098, x=537..540
y=1323, x=553..560
y=271, x=496..498
y=21, x=470..479
x=604, y=575..587
x=610, y=385..400
x=540, y=1116..1118
y=1634, x=512..545
x=560, y=66..80
x=495, y=772..774
x=550, y=637..650
x=592, y=700..702
x=567, y=1628..1638
x=545, y=1632..1634
y=294, x=510..514
y=980, x=556..576
x=479, y=857..860
x=494, y=631..647
x=510, y=286..294
x=585, y=412..439
x=584, y=183..194
x=554, y=88..93
x=492, y=656..674
x=538, y=30..33
x=563, y=398..399
x=494, y=206..210
x=507, y=971..983
y=955, x=548..550
x=493, y=56..58
x=507, y=520..543
x=586, y=302..317
x=518, y=769..781
y=20, x=576..598
x=577, y=1359..1363
x=512, y=516..528
y=1558, x=574..598
y=1560, x=490..497
x=604, y=1791..1810
y=1366, x=540..567
x=606, y=1017..1043
x=483, y=9..21
x=542, y=102..105
x=591, y=1729..1738
x=551, y=466..477
y=141, x=497..540
x=498, y=527..532
x=603, y=86..94
x=591, y=492..518
x=530, y=1517..1520
y=654, x=517..520
x=510, y=791..803
x=525, y=841..846
y=647, x=494..511
x=498, y=993..1016
y=1738, x=519..524
x=548, y=579..585
x=508, y=470..490
x=518, y=1195..1205
y=319, x=484..499
y=863, x=546..562
y=1230, x=573..597
y=378, x=592..598
x=536, y=934..943
x=505, y=704..713
x=554, y=509..511
y=851, x=576..582
x=529, y=1236..1240
x=592, y=1293..1296
x=561, y=1647..1655
x=560, y=1151..1169
x=547, y=1548..1560
x=574, y=1294..1319
y=583, x=487..494
y=540, x=569..572
x=607, y=1568..1589
x=597, y=1202..1230
x=550, y=696..718
x=555, y=848..859
x=492, y=248..259
y=1060, x=560..563
x=494, y=31..43
y=664, x=483..486
y=495, x=542..563
x=580, y=551..564
x=532, y=87..91
x=472, y=450..475
x=471, y=1143..1144
y=317, x=562..586
x=513, y=1776..1790
x=588, y=1154..1156
x=568, y=580..585
x=550, y=203..214
y=1118, x=540..546
x=479, y=1096..1119
x=543, y=635..646
y=1742, x=577..601
x=502, y=1080..1094
x=563, y=1214..1228
x=576, y=845..851
x=471, y=379..400
x=525, y=993..1016
x=538, y=524..533
y=1119, x=479..482
x=542, y=1485..1499
x=531, y=225..234
x=606, y=1293..1296
y=1519, x=505..525
y=1657, x=602..608
y=1296, x=592..606
y=772, x=493..495
y=686, x=472..478
x=525, y=558..568
y=583, x=503..508
x=514, y=348..359
x=537, y=1817..1827
x=470, y=3..21
y=1366, x=571..595
x=506, y=1443..1454
x=517, y=1236..1240
y=234, x=531..545
x=604, y=621..626
x=500, y=1199..1202
x=499, y=1461..1470
x=542, y=795..799
x=557, y=1605..1617
y=782, x=571..599
x=493, y=772..774
x=489, y=1177..1182
y=1824, x=549..551
y=479, x=489..493
x=552, y=203..214
x=602, y=1633..1657
x=592, y=1318..1344
x=540, y=1364..1366
y=1101, x=524..546
y=525, x=480..483
x=536, y=282..293
y=443, x=550..556
y=1205, x=556..564
x=569, y=1797..1808
x=556, y=968..980
x=567, y=338..343
y=1015, x=561..564
y=642, x=502..504
x=544, y=1297..1301
x=573, y=1384..1411
y=1739, x=539..542
x=582, y=320..328
x=581, y=1147..1162
y=1736, x=474..481
y=624, x=519..532
y=1284, x=543..563
y=1065, x=504..508
x=481, y=1024..1036
x=551, y=365..386
y=1771, x=586..610
x=589, y=1243..1267
x=587, y=527..533
y=836, x=489..499
x=603, y=682..705
x=494, y=69..77
y=257, x=595..610
y=860, x=479..492
x=493, y=1224..1228
x=606, y=931..955
y=1243, x=508..541
x=520, y=68..96
x=593, y=293..310
x=612, y=451..467
x=580, y=731..741
y=1074, x=546..553
x=529, y=1595..1603
x=511, y=666..671
y=564, x=517..519
y=1768, x=595..598
x=479, y=1664..1666
y=875, x=597..601
y=1655, x=556..561
y=279, x=491..505
y=1132, x=579..605
y=431, x=532..535
x=572, y=521..540
y=1301, x=544..561
x=499, y=836..839
x=551, y=736..750
x=495, y=1142..1144
x=486, y=519..543
y=386, x=551..559
x=539, y=408..417
y=924, x=530..552
x=596, y=817..826
y=852, x=473..478
x=569, y=520..540
y=820, x=533..535
y=1595, x=568..570
x=479, y=51..61
x=524, y=1421..1433
x=532, y=618..624
x=585, y=793..796
x=485, y=1106..1116
x=593, y=1455..1473
x=546, y=1116..1118
y=251, x=545..552
x=569, y=695..718
x=498, y=933..945
y=227, x=590..603
x=540, y=130..141
x=580, y=631..634
x=568, y=1133..1161
x=528, y=594..605
y=1162, x=581..596
y=1621, x=603..608
y=1790, x=499..513
x=536, y=1400..1409
y=971, x=519..527
x=490, y=1026..1050
x=546, y=1063..1065
y=1733, x=485..492
x=518, y=1676..1690
x=526, y=1319..1322
x=472, y=663..686
x=542, y=1727..1739
y=1259, x=520..540
x=557, y=1355..1360
y=1557, x=552..570
x=539, y=1340..1342
x=500, y=663..669
x=518, y=31..33
y=296, x=531..548
y=1319, x=574..580
x=540, y=1196..1212
y=1433, x=524..601
x=525, y=1506..1519
x=570, y=1532..1557
x=545, y=1611..1618
y=1263, x=497..551
x=539, y=1526..1537
x=487, y=1409..1435
y=1050, x=486..490
x=545, y=243..251
y=1236, x=517..529
x=512, y=168..182
x=534, y=1112..1123
x=486, y=1663..1666
x=569, y=965..977
x=555, y=397..399
y=1617, x=557..576
x=580, y=1335..1345
x=603, y=248..252
x=556, y=1647..1655
x=608, y=1632..1657
x=534, y=445..453
x=542, y=1706..1715
x=562, y=1666..1676
y=65, x=507..530
x=518, y=1440..1450
y=298, x=505..524
x=582, y=608..621
y=1221, x=488..490
y=33, x=518..538
y=460, x=603..605
y=117, x=520..523
y=378, x=492..495
x=579, y=868..881
y=193, x=531..533
y=514, x=532..575
x=511, y=630..647
y=1388, x=561..566
x=581, y=1017..1043
x=593, y=1567..1589
x=542, y=485..495
x=551, y=795..799
y=1366, x=503..525
y=135, x=596..606
x=540, y=244..255
x=554, y=1774..1788
x=593, y=1635..1657
x=505, y=265..279
x=539, y=544..547
x=594, y=1669..1681
y=1342, x=539..571
y=1659, x=516..537
y=278, x=591..594
x=525, y=542..551
x=573, y=18..26
y=669, x=497..500
x=556, y=994..996
y=568, x=505..525
x=540, y=660..673
x=501, y=764..783
x=487, y=72..81
x=519, y=1504..1516
y=1019, x=473..479
x=607, y=1455..1473
x=515, y=132..138
x=479, y=214..217
x=539, y=833..843
x=531, y=285..296
y=1667, x=470..475
x=562, y=138..155
x=550, y=948..955
x=611, y=648..656
x=490, y=1552..1560
y=1403, x=489..491
x=492, y=1080..1094
y=943, x=536..554
y=1160, x=523..525
x=584, y=232..239
x=497, y=601..623
y=217, x=479..496
y=734, x=482..491
x=562, y=103..105
y=713, x=505..523
y=477, x=535..551
y=878, x=540..549
x=595, y=575..587
y=1094, x=492..502
x=572, y=337..343
x=516, y=306..315
y=217, x=539..558
y=1340, x=539..571
y=1654, x=583..587
x=533, y=116..119
x=476, y=1342..1351
x=503, y=71..81
x=524, y=1725..1738
x=609, y=1060..1061
x=519, y=1724..1738
x=563, y=1050..1060
x=542, y=597..608
y=759, x=498..526
y=718, x=550..569
y=1657, x=577..593
y=1151, x=503..520
x=595, y=1378..1387
y=418, x=554..556
x=569, y=630..634
x=533, y=818..820
x=520, y=1128..1151
x=493, y=1408..1435
y=804, x=535..557
y=1763, x=535..554
x=530, y=49..65
x=577, y=1722..1742
x=594, y=1729..1738
x=614, y=1377..1387
x=479, y=998..1019
y=1202, x=500..507
x=564, y=1772..1785
y=1509, x=585..594
x=555, y=43..49
x=535, y=791..804
y=1240, x=517..529
x=525, y=1158..1160
x=544, y=1034..1046
x=551, y=1253..1263
y=884, x=506..531
x=561, y=1297..1301
x=490, y=1107..1116
y=437, x=524..541
y=1589, x=593..607
x=567, y=1213..1228
x=536, y=594..605
x=561, y=775..801
x=495, y=7..15
y=77, x=494..497
y=62, x=520..522
x=610, y=1754..1771
x=533, y=267..277
y=841, x=604..611
x=523, y=1555..1557
y=277, x=533..555
y=1387, x=595..614
x=595, y=1766..1768

